no,name,gid,latitude,longitude,accidents,road,subdistrict,district
1,สะพานสมเด็จพระเจ้าตากสิน,6534,13.719,100.512,281,สะพานสมเด็จพระเจ้าตากสิน,แขวงทุ่งวัดดอน,เขตสาทร
2,สีแยกอุโมงค์เกษตร,19106,13.84,100.576,262,ถนนประเสริฐมนูกิจ,แขวงเสนานิคม,เขตจตุจักร
3,โค้งรัชดา (ฝั่ง คปภ.),17382,13.816,100.576,238,รัชดาภิเษก 32 (ซอยอาภาภิรมย์),แขวงจันทรเกษม,เขตจตุจักร
4,แยกประชานุกูล (ถ.ประชาชื่น - ถ.รัชดาภิเษก),18443,13.83,100.539,218,ถนนประชาชื่น,แขวงวงศ์สว่าง,เขตบางซื่อ
5,แยกรัชวิภา (ถ. วิภาวดีรังสิต - ถ.รัชดาภิเษก),18540,13.831,100.557,179,ถนนวิภาวดีรังสิต,แขวงลาดยาว,เขตจตุจักร
6,แยกรัชโยธิน (ถ. พหลโยธิน - ถ.รัชดาภิเษก),18279,13.827,100.568,166,ถนนพหลโยธิน,แขวงจตุจักร,เขตจตุจักร
7,แยกวงศ์สว่าง (ถ. วงศ์สว่าง - ถ.รัชดาภิเษก),18313,13.828,100.528,166,สะพานข้ามแยกวงศ์สว่าง,แขวงวงศ์สว่าง,เขตบางซื่อ
8,แยกห้วยขวาง (ถ.ประชาราษฎร์บำเพ็ญ - ถ.รัชดาภิเษก),13851,13.779,100.574,143,,แขวงห้วยขวาง,เขตห้วยขวาง
9,แยกรัชดาฯ - ลาดพร้าว,16447,13.805,100.575,132,สะพานข้ามแยกรัชดา-ลาดพร้าว,แขวงจอมพล,เขตจตุจักร
10,ถนนพระราม 9 (ใกล้ รพ.ปิยะเวท),10888,13.754,100.581,107,ถนนพระราม 9 ,แขวงบางกะปิ,เขตห้วยขวาง
11,รัชดาภิเษก เลยต่างระดับรัชวิภาฯ,18457,13.83,100.553,98,ถนนรัชดาภิเษก,แขวงจตุจักร,เขตจตุจักร
12,ถนนวิภาวดีรังสิต แยกบางเขน,19467,13.847,100.561,96,ถนนวิภาวดีรังสิต,แขวงลาดยาว,เขตจตุจักร
13,ถนนวิภาวดีรังสิต แยกหลักสี่,20934,13.884,100.581,87,ถนนวิภาวดีรังสิต,แขวงตลาดบางเขน,เขตหลักสี่
14,แยกบางพลัด,14578,13.785,100.494,87,ถนนสิรินธร,แขวงบางพลัด,เขตบางพลัด
15,แยกพระราม 9 (รัชดาฯ - พระราม 9),11361,13.757,100.565,77,ถนนรัชดาภิเษก,แขวงดินแดง,เขตดินแดง
16,ถนนราชพฤกษ์ แยกบางหว้า (BTS บางหว้า),6772,13.721,100.458,75,ถนนราชพฤกษ์,แขวงปากคลองภาษีเจริญ,เขตภาษีเจริญ
17,แยก ถ.สุทธิสาร - ถ.รัชดาภิเษก,15261,13.79,100.574,74,ถนนรัชดาภิเษก,แขวงดินแดง,เขตดินแดง
18,ถนนราชพฤกษ์  ใต้สถานี ฺBTS โพธิ์นิมิตร ฝั่งขาออก,6521,13.719,100.487,73,ถนนราชพฤกษ์,แขวงบุคคโล,เขตธนบุรี
19,แยกถนนสมเด็จพระเจ้าตากสิน (สะพาน),6788,13.721,100.491,72,ถนนราชพฤกษ์,แขวงบุคคโล,เขตธนบุรี
20,แยก ถ.สุทธิสาร - ถ.วิภาวดีรังสิต,15132,13.789,100.562,68,,แขวงดินแดง,เขตดินแดง
21,แยกรามคำแหง (ถ.พระราม 9 - ถ.รามคำแหง),10161,13.748,100.605,67,,แขวงหัวหมาก,เขตบางกะปิ
22,ถนนวิภาวดีรังสิต หน้าสนามบินดอนเมือง,21883,13.92,100.601,64,ถนนกำแพงเพชร 6,แขวงสนามบิน,เขตดอนเมือง
